Name,Direction.PXD023778,FDR.PXD023778,PValue.PXD023778,NGenes.PXD023778,MeanAbsT0.PXD023778,MeanWeightT0.PXD023778,av_foldchange.PXD023778,sig.PXD023778,Direction.PXD008934,FDR.PXD008934,PValue.PXD008934,NGenes.PXD008934,MeanAbsT0.PXD008934,MeanWeightT0.PXD008934,av_foldchange.PXD008934,sig.PXD008934
Platelet Adhesion to exposed collagen,Up,0.029252438,0.029252438,3,3.440075925,3.33549413,0.648446482,FALSE,Up,0.356,0.291,1,0.236875293,0.180407101,0.697220665,FALSE
MET interacts with TNS proteins,Up,0.024918743,0.029252438,1,2.120556639,1.966943133,0.245374658,FALSE,Up,0.356,0.291,1,0.236875293,0.180407101,0.697220665,FALSE
Neurotransmitter release cycle,Up,0.05092091,0.031419285,4,2.056571593,2.212886393,0.263221556,FALSE,Up,0.237,0.162,4,0.648769694,0.750805475,0.226382093,FALSE
Scavenging of heme from plasma,Down,0.032502709,0.034669556,4,2.641210217,2.741368809,-0.921221216,FALSE,Up,0.03,0.019,4,2.912241024,2.966339797,0.311020716,FALSE
Nephrin family interactions,Up,0.02708559,0.035752979,6,2.107759411,2.352821965,0.214814174,FALSE,Up,0.103,0.053,6,1.634591776,1.680168581,0.47982948,FALSE
Uptake and function of diphtheria toxin,Up,0.076923077,0.035752979,2,1.087517107,1.042438906,0.084741524,FALSE,Down,0.367,0.28,3,0.145842272,0.233282434,-0.200591884,FALSE
Metabolism of carbohydrates,Up,0.037919827,0.037919827,42,3.18820471,3.615416636,0.229829982,FALSE,Down,0.246,0.233,40,0.032635282,0.24461355,-0.031934219,FALSE
GP1b-IX-V activation signalling,Up,0.055254605,0.040086674,4,3.300027097,3.351592954,0.55560128,FALSE,Up,0.539,0.457,2,-0.23647079,-0.209895773,0.309888876,FALSE
Pre-NOTCH Processing in Golgi,Down,0.045503792,0.041170098,1,2.135589487,2.276011869,-0.481348073,FALSE,Down,0.256,0.18,1,0.524817367,0.600724353,-0.204556708,FALSE
Chondroitin sulfate biosynthesis,Up,0.048754063,0.047670639,3,2.907403806,3.038542078,0.546989379,FALSE,Down,0.334,0.262,1,0.281122953,0.33082861,-0.573180366,FALSE
Dermatan sulfate biosynthesis,Up,0.048754063,0.047670639,3,2.907403806,3.038542078,0.546989379,FALSE,Down,0.334,0.262,1,0.281122953,0.33082861,-0.573180366,FALSE
CS/DS degradation,Up,0.048754063,0.047670639,3,2.907403806,3.038542078,0.546989379,FALSE,Down,0.334,0.262,1,0.281122953,0.33082861,-0.573180366,FALSE
Defective CHST3 causes SEDCJD,Up,0.048754063,0.047670639,3,2.907403806,3.038542078,0.546989379,FALSE,Down,0.334,0.262,1,0.281122953,0.33082861,-0.573180366,FALSE
"Defective CHST14 causes EDS, musculocontractural type",Up,0.048754063,0.047670639,3,2.907403806,3.038542078,0.546989379,FALSE,Down,0.334,0.262,1,0.281122953,0.33082861,-0.573180366,FALSE
Defective CHSY1 causes TPBS,Up,0.048754063,0.047670639,3,2.907403806,3.038542078,0.546989379,FALSE,Down,0.334,0.262,1,0.281122953,0.33082861,-0.573180366,FALSE
Sema3A PAK dependent Axon repulsion,Up,0.070422535,0.048754063,2,0.936087807,0.880728198,0.186125505,FALSE,Down,0.586,0.497,1,-0.570798124,-0.56321777,-0.091032296,FALSE
Syndecan interactions,Up,0.048754063,0.05092091,5,3.542936919,3.500329808,0.515188917,FALSE,Up,0.338,0.27,2,0.346181896,0.34507201,0.881721277,FALSE
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,Up,0.057421452,0.053087757,14,1.852453252,1.922236384,0.142485412,FALSE,Down,0.298,0.276,12,0.23405422,0.238328235,-0.045979596,FALSE
Heme signaling,Down,0.058504875,0.058504875,2,2.827597871,2.892126592,-1.288636189,FALSE,Up,0.029,0.018,2,3.093621969,3.094860083,0.743055072,FALSE
Cellular response to heat stress,Up,0.068255688,0.061755146,15,1.848517209,2.039937445,0.152336208,FALSE,Up,0.024,0.015,10,1.833663527,1.939246256,0.33697254,FALSE
HDL remodeling,Down,0.069339112,0.06283857,2,2.011025876,2.017420972,-0.964749388,FALSE,Up,0.04,0.03,3,2.711028081,2.676551577,0.706282557,FALSE
Amine Oxidase reactions,Up,0.083423619,0.063921993,2,2.187994227,2.311648734,0.234131078,FALSE,Down,0.593,0.513,2,-0.424154283,-0.341999622,-0.091131323,FALSE
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Up,0.083423619,0.063921993,2,2.187994227,2.311648734,0.234131078,FALSE,Down,0.593,0.513,2,-0.424154283,-0.341999622,-0.091131323,FALSE
Maturation of spike protein,Up,0.066088841,0.063921993,2,1.47331057,1.577252304,0.235797095,FALSE,Up,0.884,0.859,2,-1.3456295,-1.285831589,0.117397326,FALSE
Heparan sulfate/heparin (HS-GAG) metabolism,Up,0.085590466,0.066088841,5,2.201542805,2.318834341,0.402497435,FALSE,Up,0.288,0.229,2,0.52462383,0.571205922,0.114262893,FALSE
Chondroitin sulfate/dermatan sulfate metabolism,Up,0.085590466,0.066088841,5,2.201542805,2.318834341,0.402497435,FALSE,Up,0.288,0.229,2,0.52462383,0.571205922,0.114262893,FALSE
A tetrasaccharide linker sequence is required for GAG synthesis,Up,0.085590466,0.066088841,5,2.201542805,2.318834341,0.402497435,FALSE,Up,0.288,0.229,2,0.52462383,0.571205922,0.114262893,FALSE
Phase I - Functionalization of compounds,Up,0.092091008,0.066088841,8,1.885778059,2.056825435,0.171564938,FALSE,Up,0.827,0.76,9,-1.086594606,-0.906387657,0.139196754,FALSE
"Defective B4GALT7 causes EDS, progeroid type",Up,0.085590466,0.066088841,5,2.201542805,2.318834341,0.402497435,FALSE,Up,0.288,0.229,2,0.52462383,0.571205922,0.114262893,FALSE
Defective B3GAT3 causes JDSSDHD,Up,0.085590466,0.066088841,5,2.201542805,2.318834341,0.402497435,FALSE,Up,0.288,0.229,2,0.52462383,0.571205922,0.114262893,FALSE
Defective B3GALT6 causes EDSP2 and SEMDJL1,Up,0.085590466,0.066088841,5,2.201542805,2.318834341,0.402497435,FALSE,Up,0.288,0.229,2,0.52462383,0.571205922,0.114262893,FALSE
Plasma lipoprotein remodeling,Down,0.080173348,0.067172264,3,1.514856437,1.536840243,-0.590515142,FALSE,Up,0.059,0.037,4,2.183576802,2.171450515,0.582755134,FALSE
Defective HK1 causes hexokinase deficiency (HK deficiency),Up,0.104008667,0.069339112,1,1.324468907,1.461201005,0.271194632,FALSE,Up,0.046,0.028,1,1.992487893,2.130727696,0.338967635,FALSE
Cell surface interactions at the vascular wall,Up,0.083423619,0.070422535,7,2.336501731,2.330152961,0.400977178,FALSE,Up,0.369,0.294,3,0.255864196,0.243269991,0.400879866,FALSE
Binding and Uptake of Ligands by Scavenger Receptors,Down,0.067172264,0.071505959,11,2.925236887,3.045714626,-0.135820871,FALSE,Up,0.054,0.032,8,2.06487269,2.137945383,0.236993894,FALSE
Regulation of HSF1-mediated heat shock response,Up,0.094257855,0.072589382,8,1.698168236,1.922689048,0.233364032,FALSE,Up,0.02,0.011,7,2.132117286,2.234238947,0.490947696,FALSE
Cytokine Signaling in Immune system,Up,0.044420368,0.076923077,49,1.079812569,0.889328636,0.156336884,FALSE,Down,0.487,0.612,49,-0.441825234,-1.347554993,-0.051300435,FALSE
Interferon Signaling,Up,0.048754063,0.076923077,13,1.137932094,1.126811218,0.159893114,FALSE,Down,0.639,0.741,8,-1.110780326,-1.26614709,-0.207732915,FALSE
Scavenging by Class A Receptors,Up,0.088840737,0.080173348,7,2.425734702,2.486495618,0.19603285,FALSE,Up,0.135,0.088,4,1.209365937,1.216163942,0.371536976,FALSE
RAC1 GTPase cycle,Up,0.109425785,0.081256771,3,1.21907983,1.188076054,0.18462092,FALSE,Up,0.524,0.436,5,-0.124018544,-0.076903445,0.131215421,FALSE
Metabolism of fat-soluble vitamins,Down,0.158179848,0.082340195,3,0.774312284,0.780998426,-0.184155364,FALSE,Up,0.041,0.03,3,2.308364785,2.275122853,0.841468307,FALSE
Retinoid metabolism and transport,Down,0.158179848,0.082340195,3,0.774312284,0.780998426,-0.184155364,FALSE,Up,0.041,0.03,3,2.308364785,2.275122853,0.841468307,FALSE
CHL1 interactions,Up,0.105092091,0.083423619,2,1.490308714,1.382363924,0.272593304,FALSE,Up,0.16,0.122,2,0.801834196,0.739205033,0.260484991,FALSE
GPVI-mediated activation cascade,Up,0.091007584,0.084507042,2,2.713755367,2.694290501,0.849982394,FALSE,,,,,,,,
RUNX2 regulates osteoblast differentiation,Up,0.108342362,0.088840737,1,1.856168912,1.855448259,0.855319379,FALSE,,,,,,,,
RUNX2 regulates bone development,Up,0.108342362,0.088840737,1,1.856168912,1.855448259,0.855319379,FALSE,,,,,,,,
Leishmania infection,Down,0.108342362,0.088840737,14,1.104778496,1.127096329,-0.059867139,FALSE,Down,0.705,0.642,13,-0.707512582,-0.840758782,-0.347618371,FALSE
Hemostasis,Up,0.124593716,0.093174431,61,1.608191538,1.829921636,0.028632646,FALSE,Up,0.181,0.143,59,1.088895832,1.315213869,0.12957077,FALSE
Localization of the PINCH-ILK-PARVIN complex to focal adhesions,Up,0.256771398,0.096424702,3,0.483413439,0.446497754,0.151825757,FALSE,Up,0.283,0.229,2,0.594073634,0.631303558,0.751651245,FALSE
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,Up,0.121343445,0.097508126,2,0.864204591,0.975767512,0.186638819,FALSE,Up,0.56,0.482,1,-0.482435143,-0.453888364,0.092239793,FALSE
Metabolism of steroids,Down,0.120260022,0.098591549,5,1.623839815,1.713219617,-0.125763993,FALSE,Up,0.563,0.451,6,-0.20668521,-0.112263232,0.130882469,FALSE
Propionyl-CoA catabolism,Down,0.150595883,0.100758397,3,0.59724507,0.750767702,-0.010012314,FALSE,Down,0.369,0.282,2,0.16155628,0.255524991,-0.354480936,FALSE
Sema4D mediated inhibition of cell attachment and migration,Up,0.169014085,0.10184182,1,1.290297092,1.429662277,0.298561963,FALSE,,,,,,,,
Fibronectin matrix formation,Up,0.120260022,0.102925244,2,1.414918413,1.294226785,0.214020446,FALSE,Up,0.356,0.291,1,0.236875293,0.180407101,0.697220665,FALSE
Neurexins and neuroligins,Up,0.189599133,0.102925244,1,1.254388687,1.40866428,0.348040209,FALSE,Down,0.293,0.198,1,0.50016452,0.608402688,-0.825389725,FALSE
Protein-protein interactions at synapses,Up,0.189599133,0.102925244,1,1.254388687,1.40866428,0.348040209,FALSE,Down,0.293,0.198,1,0.50016452,0.608402688,-0.825389725,FALSE
Neutrophil degranulation,Up,0.154929577,0.102925244,43,1.635927656,1.996661849,0.052603784,FALSE,Down,0.051,0.043,67,1.557220991,1.80606784,-0.040811854,FALSE
Interleukin-4 and Interleukin-13 signaling,Up,0.118093174,0.105092091,10,2.46498072,2.516184689,0.253085507,FALSE,Up,0.273,0.188,7,0.578048736,0.623651026,0.09552602,FALSE
RAC3 GTPase cycle,Up,0.189599133,0.105092091,7,0.890554605,0.971302253,0.170501104,FALSE,Up,0.411,0.324,3,0.211456983,0.21846996,0.046057326,FALSE
Diseases of metabolism,Up,0.100758397,0.107258938,20,1.397656534,1.522094991,0.180935258,FALSE,Down,0.247,0.298,19,0.157581721,0.234126432,-0.052906673,FALSE
Erythrocytes take up oxygen and release carbon dioxide,Down,0.134344529,0.108342362,2,2.119275972,2.261585815,-1.052981459,FALSE,Up,0.037,0.024,1,2.235124911,2.306750304,0.959759232,FALSE
Factors involved in megakaryocyte development and platelet production,Down,0.127843987,0.110509209,16,0.522564661,0.578349659,-0.065412924,FALSE,Down,0.632,0.598,15,-0.575126992,-0.513495902,-0.002018291,FALSE
Basigin interactions,Up,0.313109426,0.111592633,3,0.391365173,0.321670895,0.155883946,FALSE,Up,0.449,0.37,2,-0.012471521,-0.039331095,0.200466724,FALSE
ABC transporters in lipid homeostasis,Down,0.162513543,0.112676056,1,1.45411996,1.430566999,-0.923985129,FALSE,Up,0.028,0.017,1,2.139917235,2.070042799,0.526350913,FALSE
Defective ABCA1 causes TGD,Down,0.162513543,0.112676056,1,1.45411996,1.430566999,-0.923985129,FALSE,Up,0.028,0.017,1,2.139917235,2.070042799,0.526350913,FALSE
HDL assembly,Down,0.162513543,0.112676056,1,1.45411996,1.430566999,-0.923985129,FALSE,Up,0.064,0.046,2,2.276341576,2.293937132,0.557323712,FALSE
Chylomicron remodeling,Down,0.162513543,0.112676056,1,1.45411996,1.430566999,-0.923985129,FALSE,Up,0.04,0.025,2,2.501318049,2.449170277,0.861349385,FALSE
HDL clearance,Down,0.162513543,0.112676056,1,1.45411996,1.430566999,-0.923985129,FALSE,Up,0.028,0.017,1,2.139917235,2.070042799,0.526350913,FALSE
Neurotransmitter clearance,Up,0.115926327,0.11375948,2,2.008552426,2.118428102,0.250588319,FALSE,Down,0.577,0.485,2,-0.395195572,-0.318232003,-0.228341849,FALSE
Metabolism of serotonin,Up,0.115926327,0.11375948,2,2.008552426,2.118428102,0.250588319,FALSE,Down,0.577,0.485,2,-0.395195572,-0.318232003,-0.228341849,FALSE
Serotonin clearance from the synaptic cleft,Up,0.115926327,0.11375948,2,2.008552426,2.118428102,0.250588319,FALSE,Down,0.577,0.485,2,-0.395195572,-0.318232003,-0.228341849,FALSE
Innate Immune System,Up,0.149512459,0.114842904,71,0.627366003,0.654651017,0.047845435,FALSE,Down,0.02,0.017,97,1.706442101,1.360785508,-0.075696171,FALSE
Fcgamma receptor (FCGR) dependent phagocytosis,Up,0.199349946,0.114842904,7,0.321544805,0.318604448,0.022009787,FALSE,Down,0.643,0.574,6,-0.554132224,-0.556343859,-0.418793704,FALSE
Regulation of actin dynamics for phagocytic cup formation,Up,0.199349946,0.114842904,7,0.321544805,0.318604448,0.022009787,FALSE,Down,0.643,0.574,6,-0.554132224,-0.556343859,-0.418793704,FALSE
RHOBTB2 GTPase cycle,Up,0.151679307,0.114842904,6,0.976674903,1.012628109,0.046404809,FALSE,Up,0.713,0.636,7,-0.645531544,-0.544440058,0.279752346,FALSE
Striated Muscle Contraction,Down,0.136511376,0.119176598,21,1.679229039,2.125003003,-0.013414302,FALSE,Up,0.165,0.107,17,1.150065952,1.516854622,0.284770825,FALSE
Biological oxidations,Up,0.135427952,0.120260022,14,2.282767637,2.571294246,0.163593116,FALSE,Up,0.881,0.837,16,-1.323551143,-1.060534518,0.090443937,FALSE
Erythrocytes take up carbon dioxide and release oxygen,Down,0.151679307,0.121343445,3,1.826805555,1.991065016,-0.653718351,FALSE,Up,0.187,0.14,2,0.957821171,1.045672981,0.56475388,FALSE
O2/CO2 exchange in erythrocytes,Down,0.151679307,0.121343445,3,1.826805555,1.991065016,-0.653718351,FALSE,Up,0.187,0.14,2,0.957821171,1.045672981,0.56475388,FALSE
Platelet degranulation ,Up,0.180931744,0.122426869,27,1.217348551,1.440807232,0.033447853,FALSE,Up,0.076,0.048,32,1.71317644,1.928944624,0.132713614,FALSE
Response to elevated platelet cytosolic Ca2+,Up,0.180931744,0.122426869,27,1.217348551,1.440807232,0.033447853,FALSE,Up,0.076,0.048,32,1.71317644,1.928944624,0.132713614,FALSE
Reproduction,Up,0.159263272,0.124593716,4,0.683914706,0.761122936,0.132878518,FALSE,Up,0.06,0.042,3,2.042928503,2.171826369,0.869231959,FALSE
Meiosis,Up,0.159263272,0.124593716,4,0.683914706,0.761122936,0.132878518,FALSE,Up,0.019,0.014,2,3.127855414,3.250153307,1.372985739,FALSE
Recycling of bile acids and salts,Down,0.173347779,0.12567714,1,1.389900108,1.422497101,-1.005513646,FALSE,Up,0.132,0.091,1,1.15824047,1.172273499,0.396148902,FALSE
Bile acid and bile salt metabolism,Down,0.173347779,0.12567714,1,1.389900108,1.422497101,-1.005513646,FALSE,Up,0.297,0.215,3,0.409059087,0.486110349,0.047205864,FALSE
Aspirin ADME,Down,0.173347779,0.12567714,1,1.389900108,1.422497101,-1.005513646,FALSE,Up,0.202,0.151,2,1.033530855,1.099770901,0.606345391,FALSE
Prednisone ADME,Down,0.173347779,0.12567714,1,1.389900108,1.422497101,-1.005513646,FALSE,Up,0.132,0.091,1,1.15824047,1.172273499,0.396148902,FALSE
Ciprofloxacin ADME,Down,0.173347779,0.12567714,1,1.389900108,1.422497101,-1.005513646,FALSE,Up,0.132,0.091,1,1.15824047,1.172273499,0.396148902,FALSE
"Platelet activation, signaling and aggregation",Up,0.202600217,0.126760563,34,1.300611941,1.494850566,0.085268607,FALSE,Up,0.143,0.098,38,1.3169465,1.511376611,0.123319166,FALSE
Regulation of FOXO transcriptional activity by acetylation,Down,0.173347779,0.127843987,1,1.042688506,1.086284374,-0.22715514,FALSE,Down,0.584,0.509,1,-0.42315927,-0.385443291,-0.420142299,FALSE
MET activates PTK2 signaling,Up,0.141928494,0.128927411,10,1.638716541,1.685915444,0.178601339,FALSE,Down,0.226,0.174,2,0.776879686,0.800431034,-0.12771091,FALSE
ECM proteoglycans,Up,0.146262189,0.131094258,27,2.432221067,2.680661128,0.254322821,FALSE,Up,0.054,0.03,6,1.896020287,2.02754619,0.229829136,FALSE
ATF6 (ATF6-alpha) activates chaperones,Up,0.167930661,0.131094258,3,2.000888437,2.137509923,0.236018237,FALSE,Up,0.671,0.596,3,-0.671346444,-0.587036209,0.058270956,FALSE
ATF6 (ATF6-alpha) activates chaperone genes,Up,0.167930661,0.131094258,3,2.000888437,2.137509923,0.236018237,FALSE,Up,0.671,0.596,3,-0.671346444,-0.587036209,0.058270956,FALSE
SLC transporter disorders,Down,0.171180932,0.132177681,2,1.256437131,1.414247988,-0.090740518,FALSE,Up,0.142,0.098,2,1.143564425,1.282685566,0.403023989,FALSE
Glycosaminoglycan metabolism,Up,0.154929577,0.133261105,8,2.735677257,2.931369907,0.416735367,FALSE,Up,0.17,0.124,3,1.070774746,1.154396992,0.309256935,FALSE
Diseases associated with glycosaminoglycan metabolism,Up,0.154929577,0.133261105,8,2.735677257,2.931369907,0.416735367,FALSE,Up,0.17,0.124,3,1.070774746,1.154396992,0.309256935,FALSE
Glycolysis,Up,0.148429036,0.135427952,16,1.778896609,2.081814942,0.198651698,FALSE,Down,0.253,0.191,16,0.222038978,0.511638747,-0.033263277,FALSE
Chylomicron assembly,Down,0.205850488,0.138678223,2,0.872504861,0.87637986,-0.38301589,FALSE,Up,0.062,0.042,3,1.852666862,1.830562658,0.644957211,FALSE
Plasma lipoprotein assembly,Down,0.205850488,0.138678223,2,0.872504861,0.87637986,-0.38301589,FALSE,Up,0.061,0.043,4,2.144114515,2.172350868,0.630792036,FALSE
Visual phototransduction,Down,0.242686891,0.14084507,4,0.34260077,0.339711411,-0.146564418,FALSE,Up,0.044,0.026,5,1.925779571,1.637678128,0.276410654,FALSE
Complex I biogenesis,Down,0.210184182,0.14084507,24,1.379067866,1.833778095,-0.155962892,FALSE,Down,0.763,0.692,15,-0.940104565,-0.647065106,-0.035851327,FALSE
Interactions of Rev with host cellular proteins,Up,0.17659805,0.141928494,2,1.023789692,0.99927917,0.118441692,FALSE,Up,0.564,0.461,2,-0.299549956,-0.269087987,0.255993523,FALSE
Nuclear import of Rev protein,Up,0.17659805,0.141928494,2,1.023789692,0.99927917,0.118441692,FALSE,Up,0.564,0.461,2,-0.299549956,-0.269087987,0.255993523,FALSE
MET promotes cell motility,Up,0.169014085,0.143011918,12,1.201987713,1.255042076,0.167123165,FALSE,Up,0.363,0.306,4,0.446741687,0.479002947,0.173196689,FALSE
Assembly of the ORC complex at the origin of replication,Up,0.146262189,0.146262189,3,0.76081972,0.6857249,0.088190676,FALSE,Up,0.579,0.494,1,-0.443629677,-0.43078284,0.28816333,FALSE
PKA activation in glucagon signalling,Down,0.192849404,0.147345612,4,0.904515415,0.928333737,-0.036477045,FALSE,Down,0.744,0.665,1,-0.886351224,-0.857116896,-0.033241615,FALSE
Diseases of glycosylation,Up,0.165763814,0.150595883,9,2.492888114,2.694616485,0.382132308,FALSE,Down,0.008,0.003,5,2.910301357,3.087333808,-0.145706043,TRUE
Platelet Aggregation (Plug Formation),Up,0.210184182,0.151679307,6,1.074457836,1.077862858,0.362801881,FALSE,Up,0.548,0.49,3,-0.397000801,-0.36249681,0.346816123,FALSE
Synthesis of Ketone Bodies,Down,0.18851571,0.153846154,2,1.260325498,1.438149206,-0.163351954,FALSE,Up,0.385,0.288,3,0.162537413,0.313266721,0.222464731,FALSE
Semaphorin interactions,Up,0.386782232,0.154929577,11,0.141647736,0.179054148,0.125588431,FALSE,Down,0.152,0.097,5,0.864005718,0.881173267,-0.470958918,FALSE
